Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
30.134,1.68,23.1,14.56,-199.902,0.537247,0.634918,0.013908,0.15738,1.59356,0.01624,-0.07888,0.08584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.536,2.31,23.24,14.21,-199.512,0.341873,0.927963,0.01464,0.155916,1.59649,0.0203,-0.07598,0.08526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.536,3.29,21.63,13.86,-199.902,0.244202,0.927963,0.01464,0.155916,1.59576,0.0203,-0.07598,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.536,3.22,20.93,12.6,-199.902,0.341873,0.830276,0.013908,0.15006,1.59356,0.01566,-0.07366,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.536,1.82,29.05,14.14,-199.707,0.43956,0.830276,0.016104,0.150792,1.59942,0.01624,-0.07772,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.536,1.75,23.87,16.03,-199.902,0.537247,0.830276,0.011712,0.152256,1.59796,0.01914,-0.07946,0.08642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35.536,2.73,25.2,14.84,-199.902,0.537247,0.927963,0.013176,0.155916,1.59942,0.02146,-0.07134,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36.536,2.38,23.59,14.28,-199.902,0.537247,0.830276,0.01464,0.155916,1.59796,0.02146,-0.08178,0.08062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37.536,1.89,24.36,14.49,-199.414,0.146515,1.02563,0.01098,0.155916,1.59576,0.02204,-0.07772,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38.536,2.31,25.55,15.05,-199.902,0.43956,0.927963,0.013176,0.152988,1.59796,0.0145,-0.07482,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39.536,2.17,25.13,14.49,-199.902,0.341873,0.830276,0.013908,0.155916,1.59722,0.01856,-0.07888,0.08004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.536,2.8,24.85,14.14,-199.902,0.634918,0.830276,0.010248,0.15738,1.59649,0.01566,-0.07714,0.0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41.536,1.82,24.64,14.28,-199.902,0.341873,0.732605,0.013908,0.152988,1.59356,0.0174,-0.07656,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42.536,2.38,21.21,14.28,-199.902,0.43956,0.830276,0.01098,0.158844,1.59576,0.01624,-0.0754,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43.536,2.24,25.2,14.28,-199.902,0.43956,0.830276,0.01098,0.155184,1.60015,0.01218,-0.0725,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44.536,1.47,24.85,13.58,-199.805,0.537247,0.634918,0.01098,0.154452,1.59942,0.01682,-0.08178,0.07714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45.536,2.45,25.06,14.14,-199.512,0.341873,0.830276,0.004392,0.15372,1.60015,0.01914,-0.07598,0.0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46.536,2.1,23.31,14.63,-199.805,0.146515,1.02563,0.016104,0.147864,1.60088,0.01044,-0.0754,0.07424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47.536,1.33,23.8,13.79,-199.805,0.341873,0.732605,0.015372,0.150792,1.59796,0.0232,-0.07308,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48.536,1.68,24.08,14,-199.902,0.43956,0.830276,0.01464,0.155916,1.59356,0.02146,-0.07598,0.07946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49.536,2.24,24.22,14.14,-199.902,0.537247,0.732605,0.012444,0.155916,1.59796,0.01914,-0.07714,0.08062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50.536,2.38,24.71,14.84,-199.902,0.341873,0.732605,0.012444,0.155916,1.59722,0.0203,-0.07714,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51.536,1.96,23.73,14.14,-199.902,0.341873,0.830276,0.013176,0.15372,1.59576,0.01856,-0.0812,0.08004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52.536,2.31,22.89,14.56,-199.902,0.43956,1.02563,0.012444,0.152988,1.59649,0.01566,-0.0783,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53.536,3.08,23.73,13.93,-199.902,0.43956,0.732605,0.013176,0.155184,1.60088,0.01624,-0.07656,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54.536,2.45,24.71,14.49,-199.902,0.537247,0.732605,0.010248,0.155916,1.59869,0.0174,-0.07772,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55.536,2.17,24.64,13.86,-199.902,0.341873,0.830276,0.009516,0.152988,1.59942,0.01798,-0.08178,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56.536,1.96,24.15,14.21,-199.805,0.341873,0.732605,0.013176,0.156648,1.60162,0.01624,-0.07424,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57.536,1.96,25.13,14.56,-199.902,0.537247,0.732605,0.013176,0.155916,1.59796,0.02262,-0.0783,0.08526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58.536,1.54,25.13,14.84,-199.805,0.341873,0.927963,0.01098,0.155184,1.59722,0.01682,-0.07714,0.08526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59.536,2.17,23.66,14.56,-199.902,0.341873,0.927963,0.013176,0.155184,1.59649,0.01682,-0.07946,0.08062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60.536,1.96,24.71,13.93,-199.805,0.341873,0.830276,0.013908,0.15372,1.59576,0.01624,-0.07656,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61.536,2.31,24.01,14.14,-199.902,0.341873,0.830276,0.01098,0.154452,1.59356,0.0174,-0.0754,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62.536,2.31,24.22,14.07,-199.902,0.43956,0.830276,0.011712,0.15372,1.59576,0.01276,-0.0696,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63.536,1.96,24.71,14.56,-199.902,0.43956,0.830276,0.011712,0.154452,1.59869,0.01624,-0.07656,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64.536,3.15,25.41,14.56,-199.902,0.341873,0.732605,0.010248,0.156648,1.59796,0.01914,-0.0783,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65.536,2.45,23.94,14,-199.902,0.43956,1.02563,0.013908,0.156648,1.60088,0.01682,-0.07482,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66.536,2.52,23.73,14.77,-199.805,0.43956,0.732605,0.012444,0.156648,1.60162,0.0174,-0.0754,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67.536,2.52,23.87,13.86,-199.902,0.634918,0.830276,0.009516,0.15372,1.59796,0.0174,-0.07888,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68.536,2.03,25.41,14.21,-199.902,0.43956,0.830276,0.01098,0.158112,1.59503,0.0145,-0.07366,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69.536,1.96,24.15,14.28,-199.902,0.634918,0.732605,0.013908,0.152988,1.59503,0.02088,-0.07772,0.08468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70.536,3.43,25.27,15.05,-199.902,0.244202,0.927963,0.008784,0.156648,1.59869,0.0174,-0.07888,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71.536,2.52,23.87,14.21,-199.902,0.537247,0.830276,0.012444,0.152988,1.59722,0.0145,-0.07714,0.08062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72.536,2.73,24.36,14.35,-199.902,0.732605,0.537247,0.009516,0.15738,1.59283,0.01276,-0.07656,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73.536,2.03,23.73,14.28,-199.902,0.341873,0.830276,0.006588,0.154452,1.59722,0.01972,-0.07424,0.08004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74.536,-1.89,18.76,13.51,-199.902,0.537247,0.927963,0.0183,0.162504,1.59503,0.0174,-0.0812,0.07772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75.536,2.87,25.27,14.56,-199.316,0.43956,0.830276,0.012444,0.158844,1.59869,0.01798,-0.07946,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76.536,2.17,25.69,14.56,-199.902,0.341873,0.830276,0.012444,0.15738,1.60162,0.02088,-0.07772,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77.536,2.59,24.43,14.63,-199.902,0.43956,0.732605,0.012444,0.156648,1.59796,0.0203,-0.08178,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78.536,0,31.57,14.07,-199.902,0.341873,0.830276,0.008052,0.162504,1.59722,0.01856,-0.08352,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79.536,-12.95,55.72,-58.8,-199.902,0.634918,0.830276,-0.024156,0.13542,1.59722,0.01972,-0.08584,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80.536,1.12,36.54,13.93,-199.902,0.341873,0.927963,0.020496,0.155184,1.59503,0.02842,-0.0957,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81.536,2.03,26.32,14.28,-198.632,0.341873,0.830276,-0.001464,0.160308,1.59942,0.02784,-0.10092,0.07772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82.536,2.52,25.62,14.35,-199.902,0.341873,0.830276,0.01098,0.156648,1.59722,0.02378,-0.09918,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83.536,2.38,24.22,14.07,-199.805,0.43956,0.732605,0.008784,0.155916,1.59722,0.02842,-0.09802,0.08526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84.536,2.87,24.22,14.49,-199.707,0.244202,0.927963,0.005856,0.156648,1.59869,0.02494,-0.0957,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85.536,2.24,23.59,14.21,-199.902,0.537247,0.830276,0.008784,0.155184,1.59942,0.02146,-0.09338,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86.536,1.89,24.36,14.07,-199.902,0.244202,1.02563,0.006588,0.155916,1.59576,0.02262,-0.09918,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87.536,2.17,24.71,14.07,-199.902,0.537247,0.830276,0.008784,0.154452,1.59796,0.02378,-0.09918,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88.536,2.17,25.13,14.21,-199.902,0.341873,0.927963,0.008052,0.15738,1.59649,0.02726,-0.09918,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89.536,2.59,24.64,14.14,-199.902,0.537247,0.634918,0.008784,0.155916,1.59283,0.01972,-0.09976,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90.536,1.96,24.5,14,-199.902,0.43956,1.02563,0.006588,0.154452,1.59649,0.02436,-0.09396,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91.536,2.45,25.55,14.07,-199.805,0.43956,0.634918,0.005856,0.156648,1.59869,0.02262,-0.10034,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92.536,1.82,24.99,14.28,-199.805,0.43956,0.927963,0.006588,0.155184,1.59722,0.0261,-0.09802,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93.536,2.24,24.22,14.21,-199.902,0.244202,0.927963,0.008784,0.155916,1.59869,0.0261,-0.09222,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94.536,1.61,24.29,14.35,-199.902,0.43956,1.02563,0.008784,0.154452,1.60015,0.02146,-0.09918,0.07946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95.536,2.1,24.29,14.07,-199.902,0.537247,0.927963,0.006588,0.155916,1.60015,0.0261,-0.0957,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96.536,2.24,24.92,14.28,-199.902,0.634918,0.830276,0.008052,0.156648,1.60381,0.02494,-0.09802,0.08758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97.536,1.89,24.43,13.93,-199.805,0.43956,0.732605,0.008784,0.156648,1.59649,0.0261,-0.10034,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98.536,2.52,24.99,15.05,-199.902,0.43956,0.830276,0.00732,0.155916,1.59649,0.02668,-0.09512,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99.536,2.38,24.99,14.28,-199.805,0.634918,0.830276,0.010248,0.155184,1.59356,0.0203,-0.09918,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100.536,2.38,25.27,14.21,-199.805,0.244202,0.927963,0.006588,0.155184,1.59796,0.02436,-0.09744,0.08468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
